Temparature,Humidity,Moisture,Soil_Type,Crop_Type,Nitrogen,Potassium,Phosphorous,Fertilizer
20,83,26,Clayey,rice,90,49,36,Urea
25,84,32,Loamy,rice,66,59,36,Urea
33,64,50,Loamy,Wheat,41,0,0,Urea
34,65,54,Loamy,Wheat,38,0,0,Urea
38,72,51,Loamy,Wheat,39,0,0,Urea
31,62,32,Red,Tobacco,39,0,0,Urea
32,62,30,Loamy,Sugarcane,38,0,0,Urea
34,65,60,Black,Sugarcane,35,0,0,Urea
33,64,34,Clayey,Pulses,38,0,0,Urea
28,54,38,Clayey,Pulses,40,0,0,Urea
27,55,44,Loamy,pomegranate,2,24,38,Urea
28,54,46,Clayey,Paddy,35,0,0,Urea
34,65,38,Clayey,Paddy,39,0,0,Urea
28,54,41,Clayey,Paddy,36,0,0,Urea
27,53,35,Black,Oil seeds,37,0,0,Urea
27,53,34,Black,Oil seeds,42,0,0,Urea
28,54,37,Black,Millets,36,0,0,Urea
28,54,35,Black,Millets,41,0,0,Urea
30,60,40,Sandy,Millets,41,0,0,Urea
27,53,30,Black,Millets,35,0,0,Urea
26,52,38,Sandy,Maize,37,0,0,Urea
30,60,29,Red,Ground Nuts,41,0,0,Urea
36,68,41,Red,Ground Nuts,41,0,0,Urea
25,50,65,Loamy,Cotton,36,0,0,Urea
28,54,65,Black,Cotton,39,0,0,Urea
26,53,28,Loamy,coffee,85,33,25,Urea
26,66,30,Loamy,coffee,80,30,25,Urea
25,85,60,Loamy,watermelon,110,10,54,TSP
26,82,25,Loamy,rice,86,41,36,TSP
30,88,44,Loamy,pomegranate,5,15,38,TSP
25,82,65,Loamy,watermelon,100,24,54,TSP
26,80,59,Loamy,watermelon,109,27,54,TSP
30,89,30,Loamy,pomegranate,5,21,38,TSP
26,82,27,Loamy,rice,73,48,36,TSP
25,55,53,Loamy,pomegranate,0,27,38,Superphosphate
28,61,33,Loamy,pomegranate,31,25,38,Superphosphate
27,85,37,Loamy,pomegranate,21,21,38,Superphosphate
29,82,39,Loamy,pomegranate,15,11,38,Potassium sulfate.
30,83,63,Loamy,pomegranate,39,30,38,Potassium sulfate.
26,78,43,Sandy,Cotton,22,26,38,Potassium sulfate.
25,79,59,Loamy,Cotton,117,43,25,Potassium chloride
26,84,44,Loamy,watermelon,92,8,54,DAP
25,83,30,Loamy,watermelon,114,27,54,DAP
25,81,41,Clayey,rice,75,47,36,DAP
29,58,52,Loamy,Wheat,13,0,36,DAP
35,68,33,Red,Tobacco,11,0,37,DAP
29,52,45,Loamy,Sugarcane,12,0,36,DAP
30,60,27,Loamy,Sugarcane,12,0,40,DAP
22,81,45,Clayey,rice,78,43,36,DAP
27,54,28,Clayey,Pulses,13,0,40,DAP
37,70,37,Clayey,Paddy,12,0,41,DAP
37,70,32,Black,Oil seeds,12,0,39,DAP
29,58,34,Sandy,Millets,15,0,37,DAP
36,60,43,Sandy,Millets,15,0,41,DAP
26,52,31,Red,Ground Nuts,14,0,41,DAP
32,62,34,Red,Ground Nuts,15,0,37,DAP
33,64,31,Red,Ground Nuts,13,0,39,DAP
24,82,65,Sandy,Cotton,126,46,25,DAP
25,78,40,Loamy,Cotton,102,37,25,DAP
36,68,62,Red,Cotton,15,0,40,DAP
34,65,63,Red,Cotton,14,0,38,DAP
29,58,65,Black,Cotton,14,0,35,DAP
29,58,61,Loamy,Cotton,11,0,38,DAP
23,52,44,Sandy,coffee,116,23,25,DAP
25,57,30,Sandy,coffee,117,34,25,DAP
35,67,42,Sandy,Barley,10,0,35,DAP
30,60,47,Sandy,Barley,12,0,42,DAP
26,52,48,Loamy,Wheat,23,0,19,28-28
34,65,48,Loamy,Wheat,23,0,19,28-28
32,62,34,Red,Tobacco,22,0,20,28-28
32,62,34,Red,Tobacco,22,0,24,28-28
34,65,31,Red,Tobacco,23,0,21,28-28
26,52,39,Clayey,Pulses,21,0,23,28-28
25,50,32,Clayey,Pulses,24,0,19,28-28
32,62,41,Clayey,Paddy,24,0,22,28-28
29,58,43,Clayey,Paddy,24,0,18,28-28
30,60,42,Sandy,Millets,21,0,18,28-28
27,53,43,Black,Millets,23,0,24,28-28
26,52,44,Sandy,Maize,23,0,20,28-28
30,60,47,Sandy,Maize,22,0,21,28-28
29,58,40,Red,Ground Nuts,24,0,23,28-28
34,65,64,Black,Cotton,24,0,20,28-28
25,50,39,Sandy,Barley,21,0,19,28-28
31,62,44,Sandy,Barley,21,0,28,28-28
30,60,49,Loamy,Wheat,13,0,9,20-20
34,65,57,Black,Sugarcane,9,0,13,20-20
27,53,59,Loamy,Sugarcane,10,0,15,20-20
26,52,59,Loamy,Sugarcane,11,0,9,20-20
29,58,57,Black,Sugarcane,12,0,10,20-20
26,52,36,Clayey,Pulses,14,0,13,20-20
27,54,30,Clayey,Pulses,13,0,13,20-20
33,64,39,Clayey,Paddy,13,0,10,20-20
26,52,32,Black,Oil seeds,12,0,8,20-20
36,68,33,Black,Oil seeds,13,0,14,20-20
30,60,44,Sandy,Millets,10,0,9,20-20
29,58,37,Sandy,Millets,8,0,15,20-20
30,60,38,Sandy,Millets,10,0,14,20-20
25,50,64,Red,Cotton,9,0,10,20-20
31,62,49,Black,Sugarcane,10,13,14,17-17-17
34,65,53,Loamy,Sugarcane,12,14,12,17-17-17
25,50,56,Loamy,Sugarcane,11,13,15,17-17-17
31,62,48,Sandy,Maize,14,15,12,17-17-17
25,50,26,Red,Ground Nuts,15,14,11,17-17-17
31,62,63,Red,Cotton,11,12,15,17-17-17
26,52,35,Sandy,Barley,12,10,13,17-17-17
27,64,33,Clayey,kidneybeans,20,25,6,15-15-15
0,65,38,Loamy,kidneybeans,23,23,6,15-15-15
37,74,47,Loamy,kidneybeans,25,18,6,15-15-15
20,69,63,Loamy,kidneybeans,23,23,6,15-15-15
38,70,48,Loamy,Wheat,8,8,28,14-35-14
30,60,58,Loamy,Sugarcane,10,7,32,14-35-14
29,58,55,Loamy,Sugarcane,8,8,33,14-35-14
35,67,28,Clayey,Pulses,8,7,31,14-35-14
29,58,42,Clayey,Paddy,9,10,22,14-35-14
28,54,43,Clayey,Paddy,10,8,29,14-35-14
29,58,33,Black,Oil seeds,9,7,30,14-35-14
30,60,26,Black,Oil seeds,8,9,30,14-35-14
33,64,51,Sandy,Maize,5,9,29,14-35-14
28,54,25,Sandy,Maize,9,10,30,14-35-14
34,65,62,Black,Cotton,7,9,30,14-35-14
30,60,63,Red,Cotton,9,9,29,14-35-14
30,60,61,Loamy,Cotton,8,10,31,14-35-14
36,68,38,Sandy,Barley,7,9,30,14-35-14
27,94,59,Loamy,orange,24,18,6,14-14-14
16,94,44,Loamy,orange,4,13,6,14-14-14
12,90,28,Loamy,orange,8,16,6,14-14-14
31,94,51,Loamy,orange,5,25,6,14-14-14
36,68,50,Loamy,Wheat,12,18,19,10-26-26
29,58,30,Red,Tobacco,13,17,16,10-26-26
30,60,27,Red,Tobacco,4,17,17,10-26-26
25,50,40,Clayey,Pulses,6,19,16,10-26-26
26,52,36,Clayey,Pulses,7,16,20,10-26-26
34,65,45,Clayey,Paddy,6,19,21,10-26-26
28,54,47,Sandy,Barley,5,18,15,10-26-26
24,91,34,Sandy,orange,22,17,5,10-10-10
23,93,31,Sandy,orange,4,23,5,10-10-10
12,95,42,Sandy,orange,11,14,5,10-10-10
27,80,31,Clayey,kidneybeans,19,21,6,10-10-10
20,83,26,Clayey,rice,90,49,36,Urea
20,83,26,Clayey,rice,90,49,36,Urea
20,83,26,Clayey,rice,90,49,36,Urea
25,84,32,Loamy,rice,66,59,36,Urea
25,84,32,Loamy,rice,66,59,36,Urea
25,84,32,Loamy,rice,66,59,36,Urea
33,64,50,Loamy,Wheat,41,0,0,Urea
33,64,50,Loamy,Wheat,41,0,0,Urea
33,64,50,Loamy,Wheat,41,0,0,Urea
34,65,54,Loamy,Wheat,38,0,0,Urea
34,65,54,Loamy,Wheat,38,0,0,Urea
34,65,54,Loamy,Wheat,38,0,0,Urea
38,72,51,Loamy,Wheat,39,0,0,Urea
38,72,51,Loamy,Wheat,39,0,0,Urea
38,72,51,Loamy,Wheat,39,0,0,Urea
31,62,32,Red,Tobacco,39,0,0,Urea
31,62,32,Red,Tobacco,39,0,0,Urea
31,62,32,Red,Tobacco,39,0,0,Urea
32,62,30,Loamy,Sugarcane,38,0,0,Urea
32,62,30,Loamy,Sugarcane,38,0,0,Urea
32,62,30,Loamy,Sugarcane,38,0,0,Urea
34,65,60,Black,Sugarcane,35,0,0,Urea
34,65,60,Black,Sugarcane,35,0,0,Urea
34,65,60,Black,Sugarcane,35,0,0,Urea
33,64,34,Clayey,Pulses,38,0,0,Urea
33,64,34,Clayey,Pulses,38,0,0,Urea
33,64,34,Clayey,Pulses,38,0,0,Urea
28,54,38,Clayey,Pulses,40,0,0,Urea
28,54,38,Clayey,Pulses,40,0,0,Urea
28,54,38,Clayey,Pulses,40,0,0,Urea
27,55,44,Loamy,pomegranate,2,24,38,Urea
27,55,44,Loamy,pomegranate,2,24,38,Urea
27,55,44,Loamy,pomegranate,2,24,38,Urea
28,54,46,Clayey,Paddy,35,0,0,Urea
28,54,46,Clayey,Paddy,35,0,0,Urea
28,54,46,Clayey,Paddy,35,0,0,Urea
34,65,38,Clayey,Paddy,39,0,0,Urea
34,65,38,Clayey,Paddy,39,0,0,Urea
34,65,38,Clayey,Paddy,39,0,0,Urea
28,54,41,Clayey,Paddy,36,0,0,Urea
28,54,41,Clayey,Paddy,36,0,0,Urea
28,54,41,Clayey,Paddy,36,0,0,Urea
27,53,35,Black,Oil seeds,37,0,0,Urea
27,53,35,Black,Oil seeds,37,0,0,Urea
27,53,35,Black,Oil seeds,37,0,0,Urea
27,53,34,Black,Oil seeds,42,0,0,Urea
27,53,34,Black,Oil seeds,42,0,0,Urea
27,53,34,Black,Oil seeds,42,0,0,Urea
28,54,37,Black,Millets,36,0,0,Urea
28,54,37,Black,Millets,36,0,0,Urea
28,54,37,Black,Millets,36,0,0,Urea
28,54,35,Black,Millets,41,0,0,Urea
28,54,35,Black,Millets,41,0,0,Urea
28,54,35,Black,Millets,41,0,0,Urea
30,60,40,Sandy,Millets,41,0,0,Urea
30,60,40,Sandy,Millets,41,0,0,Urea
30,60,40,Sandy,Millets,41,0,0,Urea
27,53,30,Black,Millets,35,0,0,Urea
27,53,30,Black,Millets,35,0,0,Urea
27,53,30,Black,Millets,35,0,0,Urea
26,52,38,Sandy,Maize,37,0,0,Urea
26,52,38,Sandy,Maize,37,0,0,Urea
26,52,38,Sandy,Maize,37,0,0,Urea
30,60,29,Red,Ground Nuts,41,0,0,Urea
30,60,29,Red,Ground Nuts,41,0,0,Urea
30,60,29,Red,Ground Nuts,41,0,0,Urea
36,68,41,Red,Ground Nuts,41,0,0,Urea
36,68,41,Red,Ground Nuts,41,0,0,Urea
36,68,41,Red,Ground Nuts,41,0,0,Urea
25,50,65,Loamy,Cotton,36,0,0,Urea
25,50,65,Loamy,Cotton,36,0,0,Urea
25,50,65,Loamy,Cotton,36,0,0,Urea
28,54,65,Black,Cotton,39,0,0,Urea
28,54,65,Black,Cotton,39,0,0,Urea
28,54,65,Black,Cotton,39,0,0,Urea
26,53,28,Loamy,coffee,85,33,25,Urea
26,53,28,Loamy,coffee,85,33,25,Urea
26,53,28,Loamy,coffee,85,33,25,Urea
26,66,30,Loamy,coffee,80,30,25,Urea
26,66,30,Loamy,coffee,80,30,25,Urea
26,66,30,Loamy,coffee,80,30,25,Urea
25,85,60,Loamy,watermelon,110,10,54,TSP
25,85,60,Loamy,watermelon,110,10,54,TSP
25,85,60,Loamy,watermelon,110,10,54,TSP
26,82,25,Loamy,rice,86,41,36,TSP
26,82,25,Loamy,rice,86,41,36,TSP
26,82,25,Loamy,rice,86,41,36,TSP
30,88,44,Loamy,pomegranate,5,15,38,TSP
30,88,44,Loamy,pomegranate,5,15,38,TSP
30,88,44,Loamy,pomegranate,5,15,38,TSP
25,82,65,Loamy,watermelon,100,24,54,TSP
25,82,65,Loamy,watermelon,100,24,54,TSP
25,82,65,Loamy,watermelon,100,24,54,TSP
26,80,59,Loamy,watermelon,109,27,54,TSP
26,80,59,Loamy,watermelon,109,27,54,TSP
26,80,59,Loamy,watermelon,109,27,54,TSP
30,89,30,Loamy,pomegranate,5,21,38,TSP
30,89,30,Loamy,pomegranate,5,21,38,TSP
30,89,30,Loamy,pomegranate,5,21,38,TSP
26,82,27,Loamy,rice,73,48,36,TSP
26,82,27,Loamy,rice,73,48,36,TSP
26,82,27,Loamy,rice,73,48,36,TSP
25,55,53,Loamy,pomegranate,0,27,38,Superphosphate
25,55,53,Loamy,pomegranate,0,27,38,Superphosphate
25,55,53,Loamy,pomegranate,0,27,38,Superphosphate
28,61,33,Loamy,pomegranate,31,25,38,Superphosphate
28,61,33,Loamy,pomegranate,31,25,38,Superphosphate
28,61,33,Loamy,pomegranate,31,25,38,Superphosphate
27,85,37,Loamy,pomegranate,21,21,38,Superphosphate
27,85,37,Loamy,pomegranate,21,21,38,Superphosphate
27,85,37,Loamy,pomegranate,21,21,38,Superphosphate
29,82,39,Loamy,pomegranate,15,11,38,Potassium sulfate.
29,82,39,Loamy,pomegranate,15,11,38,Potassium sulfate.
29,82,39,Loamy,pomegranate,15,11,38,Potassium sulfate.
30,83,63,Loamy,pomegranate,39,30,38,Potassium sulfate.
30,83,63,Loamy,pomegranate,39,30,38,Potassium sulfate.
30,83,63,Loamy,pomegranate,39,30,38,Potassium sulfate.
26,78,43,Sandy,Cotton,22,26,38,Potassium sulfate.
26,78,43,Sandy,Cotton,22,26,38,Potassium sulfate.
26,78,43,Sandy,Cotton,22,26,38,Potassium sulfate.
25,79,59,Loamy,Cotton,117,43,25,Potassium chloride
25,79,59,Loamy,Cotton,117,43,25,Potassium chloride
25,79,59,Loamy,Cotton,117,43,25,Potassium chloride
26,84,44,Loamy,watermelon,92,8,54,DAP
26,84,44,Loamy,watermelon,92,8,54,DAP
26,84,44,Loamy,watermelon,92,8,54,DAP
25,83,30,Loamy,watermelon,114,27,54,DAP
25,83,30,Loamy,watermelon,114,27,54,DAP
25,83,30,Loamy,watermelon,114,27,54,DAP
25,81,41,Clayey,rice,75,47,36,DAP
25,81,41,Clayey,rice,75,47,36,DAP
25,81,41,Clayey,rice,75,47,36,DAP
29,58,52,Loamy,Wheat,13,0,36,DAP
29,58,52,Loamy,Wheat,13,0,36,DAP
29,58,52,Loamy,Wheat,13,0,36,DAP
35,68,33,Red,Tobacco,11,0,37,DAP
35,68,33,Red,Tobacco,11,0,37,DAP
35,68,33,Red,Tobacco,11,0,37,DAP
29,52,45,Loamy,Sugarcane,12,0,36,DAP
29,52,45,Loamy,Sugarcane,12,0,36,DAP
29,52,45,Loamy,Sugarcane,12,0,36,DAP
30,60,27,Loamy,Sugarcane,12,0,40,DAP
30,60,27,Loamy,Sugarcane,12,0,40,DAP
30,60,27,Loamy,Sugarcane,12,0,40,DAP
22,81,45,Clayey,rice,78,43,36,DAP
22,81,45,Clayey,rice,78,43,36,DAP
22,81,45,Clayey,rice,78,43,36,DAP
27,54,28,Clayey,Pulses,13,0,40,DAP
27,54,28,Clayey,Pulses,13,0,40,DAP
27,54,28,Clayey,Pulses,13,0,40,DAP
37,70,37,Clayey,Paddy,12,0,41,DAP
37,70,37,Clayey,Paddy,12,0,41,DAP
37,70,37,Clayey,Paddy,12,0,41,DAP
37,70,32,Black,Oil seeds,12,0,39,DAP
37,70,32,Black,Oil seeds,12,0,39,DAP
37,70,32,Black,Oil seeds,12,0,39,DAP
29,58,34,Sandy,Millets,15,0,37,DAP
29,58,34,Sandy,Millets,15,0,37,DAP
29,58,34,Sandy,Millets,15,0,37,DAP
36,60,43,Sandy,Millets,15,0,41,DAP
36,60,43,Sandy,Millets,15,0,41,DAP
36,60,43,Sandy,Millets,15,0,41,DAP
26,52,31,Red,Ground Nuts,14,0,41,DAP
26,52,31,Red,Ground Nuts,14,0,41,DAP
26,52,31,Red,Ground Nuts,14,0,41,DAP
32,62,34,Red,Ground Nuts,15,0,37,DAP
32,62,34,Red,Ground Nuts,15,0,37,DAP
32,62,34,Red,Ground Nuts,15,0,37,DAP
33,64,31,Red,Ground Nuts,13,0,39,DAP
33,64,31,Red,Ground Nuts,13,0,39,DAP
33,64,31,Red,Ground Nuts,13,0,39,DAP
24,82,65,Sandy,Cotton,126,46,25,DAP
24,82,65,Sandy,Cotton,126,46,25,DAP
24,82,65,Sandy,Cotton,126,46,25,DAP
25,78,40,Loamy,Cotton,102,37,25,DAP
25,78,40,Loamy,Cotton,102,37,25,DAP
25,78,40,Loamy,Cotton,102,37,25,DAP
36,68,62,Red,Cotton,15,0,40,DAP
36,68,62,Red,Cotton,15,0,40,DAP
36,68,62,Red,Cotton,15,0,40,DAP
34,65,63,Red,Cotton,14,0,38,DAP
34,65,63,Red,Cotton,14,0,38,DAP
34,65,63,Red,Cotton,14,0,38,DAP
29,58,65,Black,Cotton,14,0,35,DAP
29,58,65,Black,Cotton,14,0,35,DAP
29,58,65,Black,Cotton,14,0,35,DAP
29,58,61,Loamy,Cotton,11,0,38,DAP
29,58,61,Loamy,Cotton,11,0,38,DAP
29,58,61,Loamy,Cotton,11,0,38,DAP
23,52,44,Sandy,coffee,116,23,25,DAP
23,52,44,Sandy,coffee,116,23,25,DAP
23,52,44,Sandy,coffee,116,23,25,DAP
25,57,30,Sandy,coffee,117,34,25,DAP
25,57,30,Sandy,coffee,117,34,25,DAP
25,57,30,Sandy,coffee,117,34,25,DAP
35,67,42,Sandy,Barley,10,0,35,DAP
35,67,42,Sandy,Barley,10,0,35,DAP
35,67,42,Sandy,Barley,10,0,35,DAP
30,60,47,Sandy,Barley,12,0,42,DAP
30,60,47,Sandy,Barley,12,0,42,DAP
30,60,47,Sandy,Barley,12,0,42,DAP
26,52,48,Loamy,Wheat,23,0,19,28-28
26,52,48,Loamy,Wheat,23,0,19,28-28
26,52,48,Loamy,Wheat,23,0,19,28-28
34,65,48,Loamy,Wheat,23,0,19,28-28
34,65,48,Loamy,Wheat,23,0,19,28-28
34,65,48,Loamy,Wheat,23,0,19,28-28
32,62,34,Red,Tobacco,22,0,20,28-28
32,62,34,Red,Tobacco,22,0,20,28-28
32,62,34,Red,Tobacco,22,0,20,28-28
32,62,34,Red,Tobacco,22,0,24,28-28
32,62,34,Red,Tobacco,22,0,24,28-28
32,62,34,Red,Tobacco,22,0,24,28-28
34,65,31,Red,Tobacco,23,0,21,28-28
34,65,31,Red,Tobacco,23,0,21,28-28
34,65,31,Red,Tobacco,23,0,21,28-28
26,52,39,Clayey,Pulses,21,0,23,28-28
26,52,39,Clayey,Pulses,21,0,23,28-28
26,52,39,Clayey,Pulses,21,0,23,28-28
25,50,32,Clayey,Pulses,24,0,19,28-28
25,50,32,Clayey,Pulses,24,0,19,28-28
25,50,32,Clayey,Pulses,24,0,19,28-28
32,62,41,Clayey,Paddy,24,0,22,28-28
32,62,41,Clayey,Paddy,24,0,22,28-28
32,62,41,Clayey,Paddy,24,0,22,28-28
29,58,43,Clayey,Paddy,24,0,18,28-28
29,58,43,Clayey,Paddy,24,0,18,28-28
29,58,43,Clayey,Paddy,24,0,18,28-28
30,60,42,Sandy,Millets,21,0,18,28-28
30,60,42,Sandy,Millets,21,0,18,28-28
30,60,42,Sandy,Millets,21,0,18,28-28
27,53,43,Black,Millets,23,0,24,28-28
27,53,43,Black,Millets,23,0,24,28-28
27,53,43,Black,Millets,23,0,24,28-28
26,52,44,Sandy,Maize,23,0,20,28-28
26,52,44,Sandy,Maize,23,0,20,28-28
26,52,44,Sandy,Maize,23,0,20,28-28
30,60,47,Sandy,Maize,22,0,21,28-28
30,60,47,Sandy,Maize,22,0,21,28-28
30,60,47,Sandy,Maize,22,0,21,28-28
29,58,40,Red,Ground Nuts,24,0,23,28-28
29,58,40,Red,Ground Nuts,24,0,23,28-28
29,58,40,Red,Ground Nuts,24,0,23,28-28
34,65,64,Black,Cotton,24,0,20,28-28
34,65,64,Black,Cotton,24,0,20,28-28
34,65,64,Black,Cotton,24,0,20,28-28
25,50,39,Sandy,Barley,21,0,19,28-28
25,50,39,Sandy,Barley,21,0,19,28-28
25,50,39,Sandy,Barley,21,0,19,28-28
31,62,44,Sandy,Barley,21,0,28,28-28
31,62,44,Sandy,Barley,21,0,28,28-28
31,62,44,Sandy,Barley,21,0,28,28-28
30,60,49,Loamy,Wheat,13,0,9,20-20
30,60,49,Loamy,Wheat,13,0,9,20-20
30,60,49,Loamy,Wheat,13,0,9,20-20
34,65,57,Black,Sugarcane,9,0,13,20-20
34,65,57,Black,Sugarcane,9,0,13,20-20
34,65,57,Black,Sugarcane,9,0,13,20-20
27,53,59,Loamy,Sugarcane,10,0,15,20-20
27,53,59,Loamy,Sugarcane,10,0,15,20-20
27,53,59,Loamy,Sugarcane,10,0,15,20-20
26,52,59,Loamy,Sugarcane,11,0,9,20-20
26,52,59,Loamy,Sugarcane,11,0,9,20-20
26,52,59,Loamy,Sugarcane,11,0,9,20-20
29,58,57,Black,Sugarcane,12,0,10,20-20
29,58,57,Black,Sugarcane,12,0,10,20-20
29,58,57,Black,Sugarcane,12,0,10,20-20
26,52,36,Clayey,Pulses,14,0,13,20-20
26,52,36,Clayey,Pulses,14,0,13,20-20
26,52,36,Clayey,Pulses,14,0,13,20-20
27,54,30,Clayey,Pulses,13,0,13,20-20
27,54,30,Clayey,Pulses,13,0,13,20-20
27,54,30,Clayey,Pulses,13,0,13,20-20
33,64,39,Clayey,Paddy,13,0,10,20-20
33,64,39,Clayey,Paddy,13,0,10,20-20
33,64,39,Clayey,Paddy,13,0,10,20-20
26,52,32,Black,Oil seeds,12,0,8,20-20
26,52,32,Black,Oil seeds,12,0,8,20-20
26,52,32,Black,Oil seeds,12,0,8,20-20
36,68,33,Black,Oil seeds,13,0,14,20-20
36,68,33,Black,Oil seeds,13,0,14,20-20
36,68,33,Black,Oil seeds,13,0,14,20-20
30,60,44,Sandy,Millets,10,0,9,20-20
30,60,44,Sandy,Millets,10,0,9,20-20
30,60,44,Sandy,Millets,10,0,9,20-20
29,58,37,Sandy,Millets,8,0,15,20-20
29,58,37,Sandy,Millets,8,0,15,20-20
29,58,37,Sandy,Millets,8,0,15,20-20
30,60,38,Sandy,Millets,10,0,14,20-20
30,60,38,Sandy,Millets,10,0,14,20-20
30,60,38,Sandy,Millets,10,0,14,20-20
25,50,64,Red,Cotton,9,0,10,20-20
25,50,64,Red,Cotton,9,0,10,20-20
25,50,64,Red,Cotton,9,0,10,20-20
31,62,49,Black,Sugarcane,10,13,14,17-17-17
31,62,49,Black,Sugarcane,10,13,14,17-17-17
31,62,49,Black,Sugarcane,10,13,14,17-17-17
34,65,53,Loamy,Sugarcane,12,14,12,17-17-17
34,65,53,Loamy,Sugarcane,12,14,12,17-17-17
34,65,53,Loamy,Sugarcane,12,14,12,17-17-17
25,50,56,Loamy,Sugarcane,11,13,15,17-17-17
25,50,56,Loamy,Sugarcane,11,13,15,17-17-17
25,50,56,Loamy,Sugarcane,11,13,15,17-17-17
31,62,48,Sandy,Maize,14,15,12,17-17-17
31,62,48,Sandy,Maize,14,15,12,17-17-17
31,62,48,Sandy,Maize,14,15,12,17-17-17
25,50,26,Red,Ground Nuts,15,14,11,17-17-17
25,50,26,Red,Ground Nuts,15,14,11,17-17-17
25,50,26,Red,Ground Nuts,15,14,11,17-17-17
31,62,63,Red,Cotton,11,12,15,17-17-17
31,62,63,Red,Cotton,11,12,15,17-17-17
31,62,63,Red,Cotton,11,12,15,17-17-17
26,52,35,Sandy,Barley,12,10,13,17-17-17
26,52,35,Sandy,Barley,12,10,13,17-17-17
26,52,35,Sandy,Barley,12,10,13,17-17-17
27,64,33,Clayey,kidneybeans,20,25,6,15-15-15
27,64,33,Clayey,kidneybeans,20,25,6,15-15-15
27,64,33,Clayey,kidneybeans,20,25,6,15-15-15
0,65,38,Loamy,kidneybeans,23,23,6,15-15-15
